epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.12038,0.81752,2.44189,1.00994,0.00499,1,0.73182,0.60836,0.7009,2.76326,0.86128,0.00037154,0.00037154,0.00037154
2,5.18687,0.6925,1.12896,0.94454,1,0.12147,0.78472,0.68323,0.57374,2.68349,0.83061,0.000742374,0.000742374,0.000742374
3,7.13086,0.67295,1.00661,0.95409,0.9849,0.61441,0.995,0.84784,0.59163,2.05238,0.93345,0.00109793,0.00109793,0.00109793
4,9.05792,0.67076,0.93416,0.96267,0.94705,0.98265,0.995,0.85263,0.60388,1.01906,0.94916,0.00134412,0.00134412,0.00134412
5,10.9452,0.64301,0.85052,0.94404,0.98028,1,0.995,0.88902,0.52042,0.61019,0.89434,0.00131582,0.00131582,0.00131582
6,12.9117,0.64177,0.77882,0.94384,0.99515,1,0.995,0.88958,0.50313,0.5524,0.89077,0.00128753,0.00128753,0.00128753
7,14.8439,0.63266,0.7349,0.9498,0.9919,1,0.995,0.8726,0.55778,0.48864,0.90469,0.00125923,0.00125923,0.00125923
8,16.7387,0.60524,0.68016,0.93042,0.99319,1,0.995,0.89056,0.51269,0.43574,0.88735,0.00123094,0.00123094,0.00123094
9,18.632,0.61311,0.63587,0.94687,0.98111,1,0.995,0.88188,0.52407,0.45609,0.89871,0.00120265,0.00120265,0.00120265
10,20.4683,0.62411,0.60894,0.94778,0.99185,1,0.995,0.8955,0.49854,0.34347,0.88567,0.00117435,0.00117435,0.00117435
11,22.3585,0.61764,0.60227,0.95326,0.98606,1,0.995,0.89117,0.4959,0.37352,0.88402,0.00114606,0.00114606,0.00114606
12,24.1704,0.58442,0.54553,0.93236,0.98634,1,0.995,0.88382,0.54233,0.37484,0.90468,0.00111776,0.00111776,0.00111776
13,26.0148,0.58492,0.51835,0.92733,0.99157,1,0.995,0.88266,0.5245,0.32145,0.89513,0.00108947,0.00108947,0.00108947
14,27.8965,0.56972,0.50663,0.91723,0.98651,1,0.995,0.8988,0.48346,0.35967,0.87919,0.00106118,0.00106118,0.00106118
15,29.7461,0.59242,0.50177,0.95033,0.99396,1,0.995,0.89711,0.48292,0.31773,0.87909,0.00103288,0.00103288,0.00103288
16,31.5728,0.56898,0.47523,0.93538,0.99286,1,0.995,0.90922,0.45297,0.28973,0.86216,0.00100459,0.00100459,0.00100459
17,33.4442,0.55202,0.45655,0.92118,0.98425,1,0.995,0.89647,0.48603,0.34086,0.86639,0.000976293,0.000976293,0.000976293
18,35.3505,0.55428,0.44511,0.92861,0.98243,1,0.995,0.89741,0.50547,0.34064,0.8853,0.000947999,0.000947999,0.000947999
19,37.266,0.55902,0.43161,0.9256,0.99169,1,0.995,0.90386,0.4657,0.28644,0.86,0.000919704,0.000919704,0.000919704
20,39.2226,0.56046,0.43589,0.92332,0.99146,1,0.995,0.92144,0.45555,0.29505,0.8585,0.00089141,0.00089141,0.00089141
21,41.1497,0.54301,0.44266,0.9288,0.9901,1,0.995,0.90368,0.47786,0.27567,0.86424,0.000863116,0.000863116,0.000863116
22,42.9929,0.54687,0.41859,0.92546,0.99416,1,0.995,0.90145,0.4907,0.26906,0.87015,0.000834822,0.000834822,0.000834822
23,44.7144,0.53539,0.41217,0.91302,0.9881,1,0.995,0.91928,0.46308,0.30087,0.87268,0.000806528,0.000806528,0.000806528
24,46.5272,0.54091,0.38733,0.91259,0.99246,1,0.995,0.89921,0.48418,0.27232,0.87591,0.000778233,0.000778233,0.000778233
25,48.277,0.5169,0.37283,0.90736,0.99137,1,0.995,0.90046,0.47287,0.26873,0.86454,0.000749939,0.000749939,0.000749939
26,50.0269,0.53602,0.37742,0.91081,0.99071,1,0.995,0.90665,0.45774,0.25626,0.85694,0.000721645,0.000721645,0.000721645
27,51.9614,0.5179,0.37523,0.9078,0.98991,1,0.995,0.90822,0.45385,0.2581,0.85753,0.000693351,0.000693351,0.000693351
28,53.8607,0.51149,0.35794,0.90922,0.99394,1,0.995,0.88637,0.46565,0.24071,0.85805,0.000665057,0.000665057,0.000665057
29,55.6972,0.53654,0.39312,0.92114,0.99044,1,0.995,0.89859,0.48937,0.264,0.87378,0.000636762,0.000636762,0.000636762
30,57.5557,0.53103,0.37718,0.92418,0.99259,1,0.995,0.9125,0.48709,0.2529,0.8707,0.000608468,0.000608468,0.000608468
31,59.4349,0.51018,0.36523,0.90837,0.98411,0.98983,0.995,0.91438,0.44773,0.25075,0.86279,0.000580174,0.000580174,0.000580174
32,61.2799,0.50304,0.35014,0.9077,0.99292,1,0.995,0.90867,0.47946,0.25557,0.87104,0.00055188,0.00055188,0.00055188
33,63.1329,0.51019,0.34836,0.90382,0.99334,1,0.995,0.90349,0.48912,0.23761,0.87161,0.000523586,0.000523586,0.000523586
34,64.9819,0.49033,0.34462,0.88348,0.99281,1,0.995,0.90286,0.45634,0.243,0.86085,0.000495291,0.000495291,0.000495291
35,66.9871,0.48967,0.34529,0.90784,0.9932,1,0.995,0.9132,0.45601,0.23341,0.85952,0.000466997,0.000466997,0.000466997
36,68.9055,0.50331,0.34826,0.91028,0.99404,1,0.995,0.90639,0.4559,0.22171,0.86196,0.000438703,0.000438703,0.000438703
37,70.7913,0.47703,0.3379,0.89397,0.9945,1,0.995,0.91245,0.46273,0.22005,0.86177,0.000410409,0.000410409,0.000410409
38,72.6842,0.49487,0.33207,0.90676,0.99122,1,0.995,0.90258,0.45395,0.22804,0.86146,0.000382115,0.000382115,0.000382115
39,74.4874,0.48184,0.3154,0.89481,0.99473,1,0.995,0.91169,0.44534,0.21635,0.85952,0.00035382,0.00035382,0.00035382
40,76.3064,0.46832,0.30755,0.88636,0.99457,1,0.995,0.90933,0.45331,0.2137,0.86454,0.000325526,0.000325526,0.000325526
41,96.1851,0.42048,0.31094,0.86835,0.99159,1,0.995,0.91001,0.46395,0.2185,0.86468,0.000297232,0.000297232,0.000297232
42,98.1356,0.41585,0.29688,0.85923,0.99324,1,0.995,0.90171,0.45853,0.22219,0.85843,0.000268938,0.000268938,0.000268938
43,99.9837,0.40504,0.28967,0.85154,0.99278,1,0.995,0.90403,0.48328,0.21653,0.86631,0.000240644,0.000240644,0.000240644
