epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.83442,0.48009,0.32743,0.8939,0.9906,1,0.995,0.89961,0.47429,0.23369,0.87322,0.00037154,0.00037154,0.00037154
2,4.97231,0.50204,0.32977,0.90483,0.99449,1,0.995,0.90123,0.49647,0.24623,0.87433,0.000742374,0.000742374,0.000742374
3,7.04201,0.5072,0.35919,0.90147,0.9923,1,0.995,0.90064,0.48394,0.28493,0.87387,0.00109793,0.00109793,0.00109793
4,8.97361,0.54803,0.39497,0.93033,0.99367,1,0.995,0.88343,0.48192,0.28529,0.87436,0.00134412,0.00134412,0.00134412
5,10.8161,0.53754,0.36836,0.91448,0.99418,1,0.995,0.8597,0.59028,0.29691,0.9155,0.00131582,0.00131582,0.00131582
6,12.7675,0.54987,0.3696,0.91654,0.99263,1,0.995,0.89388,0.47778,0.25467,0.87414,0.00128753,0.00128753,0.00128753
7,14.6575,0.54582,0.36388,0.93123,0.99251,1,0.995,0.88907,0.50043,0.2735,0.89062,0.00125923,0.00125923,0.00125923
8,16.5219,0.52627,0.34771,0.91951,0.99485,1,0.995,0.89406,0.49857,0.24285,0.89478,0.00123094,0.00123094,0.00123094
9,18.3652,0.53227,0.34602,0.92022,0.98948,1,0.995,0.89328,0.5279,0.2765,0.90192,0.00120265,0.00120265,0.00120265
10,20.2357,0.54551,0.35432,0.92784,0.98846,1,0.995,0.8928,0.47995,0.2646,0.87169,0.00117435,0.00117435,0.00117435
11,22.0486,0.54879,0.37411,0.9306,0.98683,1,0.995,0.88265,0.51677,0.28938,0.89302,0.00114606,0.00114606,0.00114606
12,23.9653,0.5168,0.33541,0.91733,0.99131,1,0.995,0.88586,0.51421,0.25528,0.8915,0.00111776,0.00111776,0.00111776
13,25.717,0.53899,0.32901,0.91397,0.99355,1,0.995,0.88659,0.49894,0.24566,0.87795,0.00108947,0.00108947,0.00108947
14,27.7361,0.52065,0.32984,0.90808,0.99232,1,0.995,0.88651,0.50159,0.23628,0.88257,0.00106118,0.00106118,0.00106118
15,30.0156,0.52786,0.33957,0.92904,0.99097,1,0.995,0.88717,0.47909,0.24018,0.87553,0.00103288,0.00103288,0.00103288
16,32.262,0.5161,0.32819,0.91852,0.98944,1,0.995,0.90539,0.45806,0.24307,0.87338,0.00100459,0.00100459,0.00100459
17,34.5739,0.50375,0.30962,0.91136,0.98982,1,0.995,0.91225,0.46802,0.22261,0.87125,0.000976293,0.000976293,0.000976293
18,36.8093,0.49913,0.31436,0.91009,0.99402,1,0.995,0.88804,0.50027,0.24167,0.88498,0.000947999,0.000947999,0.000947999
19,39.0211,0.51096,0.31394,0.91242,0.99384,1,0.995,0.90476,0.46226,0.21821,0.86441,0.000919704,0.000919704,0.000919704
20,41.2218,0.49946,0.32406,0.90019,0.9942,1,0.995,0.90079,0.47351,0.23632,0.87298,0.00089141,0.00089141,0.00089141
21,43.5223,0.50629,0.32846,0.92471,0.97995,1,0.995,0.91597,0.46874,0.25669,0.86188,0.000863116,0.000863116,0.000863116
22,45.7762,0.4998,0.30882,0.91269,0.97196,1,0.995,0.9085,0.47843,0.28367,0.87012,0.000834822,0.000834822,0.000834822
23,48.1227,0.49363,0.31944,0.90459,0.99503,1,0.995,0.90727,0.46287,0.22145,0.88092,0.000806528,0.000806528,0.000806528
24,50.3441,0.48937,0.30177,0.9013,0.99162,1,0.995,0.90631,0.4862,0.23337,0.8816,0.000778233,0.000778233,0.000778233
25,52.2464,0.47349,0.2917,0.89319,0.99466,1,0.995,0.90041,0.46939,0.20378,0.86675,0.000749939,0.000749939,0.000749939
26,54.3522,0.48851,0.29479,0.89677,0.99469,1,0.995,0.91184,0.46949,0.21104,0.87226,0.000721645,0.000721645,0.000721645
27,56.323,0.47698,0.30181,0.89877,0.98781,0.99794,0.995,0.90733,0.44577,0.22521,0.86252,0.000693351,0.000693351,0.000693351
28,58.2367,0.47187,0.28671,0.90099,0.98258,0.99647,0.995,0.90702,0.47183,0.23024,0.87357,0.000665057,0.000665057,0.000665057
29,60.404,0.48265,0.3121,0.90441,0.98464,0.99668,0.995,0.90531,0.50257,0.22602,0.88776,0.000636762,0.000636762,0.000636762
30,62.7015,0.49391,0.3044,0.91331,0.99061,1,0.995,0.88835,0.48581,0.2323,0.87903,0.000608468,0.000608468,0.000608468
31,65.1171,0.47133,0.29396,0.89229,0.98275,1,0.995,0.90329,0.50591,0.23761,0.88373,0.000580174,0.000580174,0.000580174
32,67.3969,0.44921,0.28307,0.89145,0.9916,1,0.995,0.89602,0.50628,0.23175,0.88011,0.00055188,0.00055188,0.00055188
33,69.6895,0.47185,0.28368,0.88937,0.98955,1,0.995,0.90435,0.48644,0.21972,0.87572,0.000523586,0.000523586,0.000523586
34,71.994,0.44783,0.27438,0.87112,0.99217,1,0.995,0.90936,0.47036,0.2146,0.8708,0.000495291,0.000495291,0.000495291
35,74.3045,0.44569,0.2706,0.89485,0.98591,1,0.995,0.91323,0.47311,0.22647,0.86682,0.000466997,0.000466997,0.000466997
36,76.6484,0.459,0.272,0.89886,0.99168,1,0.995,0.9106,0.47215,0.2061,0.86844,0.000438703,0.000438703,0.000438703
37,78.8703,0.43542,0.26567,0.88153,0.99257,1,0.995,0.9018,0.47905,0.19682,0.87459,0.000410409,0.000410409,0.000410409
38,81.0072,0.45072,0.27064,0.8953,0.99348,1,0.995,0.92273,0.44977,0.18997,0.86502,0.000382115,0.000382115,0.000382115
39,83.1336,0.43714,0.25548,0.88003,0.99286,1,0.995,0.91593,0.46477,0.19515,0.8687,0.00035382,0.00035382,0.00035382
40,85.0739,0.43196,0.25793,0.87751,0.99382,1,0.995,0.90192,0.4752,0.19929,0.87594,0.000325526,0.000325526,0.000325526
41,105.486,0.38298,0.24763,0.85728,0.99275,1,0.995,0.91638,0.47645,0.20132,0.87436,0.000297232,0.000297232,0.000297232
42,107.828,0.37561,0.22707,0.84944,0.99355,1,0.995,0.9013,0.47691,0.20915,0.87428,0.000268938,0.000268938,0.000268938
43,109.998,0.3684,0.21598,0.84021,0.99273,1,0.995,0.8975,0.46558,0.20586,0.86656,0.000240644,0.000240644,0.000240644
44,112.366,0.36912,0.22312,0.84811,0.99129,1,0.995,0.90194,0.47219,0.21422,0.87023,0.000212349,0.000212349,0.000212349
45,114.384,0.37259,0.21988,0.8504,0.99244,0.99984,0.995,0.90683,0.46404,0.21346,0.87148,0.000184055,0.000184055,0.000184055
