epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.81706,0.89509,2.9112,1.02658,0.00503,1,0.76931,0.67667,0.53181,2.70722,0.80625,0.00021435,0.00021435,0.00021435
2,2.98863,0.67202,1.24459,0.89934,1,0.17472,0.80301,0.69064,0.56244,2.52395,0.82241,0.000434219,0.000434219,0.000434219
3,4.11405,0.63433,1.04227,0.90488,0.00534,1,0.79317,0.65613,0.60012,2.60297,0.83679,0.000645033,0.000645033,0.000645033
4,5.24958,0.64344,1.04671,0.92072,0.99755,0.36207,0.995,0.86837,0.51661,2.49585,0.8589,0.000846794,0.000846794,0.000846794
5,6.37671,0.62452,0.96803,0.92662,0.96248,0.92833,0.995,0.87649,0.53488,1.73281,0.87412,0.0010395,0.0010395,0.0010395
6,7.4998,0.62899,0.90755,0.92284,0.95765,0.96041,0.995,0.90166,0.48897,1.5578,0.86086,0.00122315,0.00122315,0.00122315
7,8.57662,0.63292,0.90915,0.92303,0.98301,1,0.995,0.87943,0.55479,0.79941,0.92496,0.00125923,0.00125923,0.00125923
8,9.69998,0.6043,0.82653,0.9112,0.98437,1,0.995,0.87537,0.55755,0.73881,0.91657,0.00123094,0.00123094,0.00123094
9,10.7531,0.62199,0.77832,0.9262,0.95848,0.97619,0.98981,0.87027,0.51777,0.74345,0.90733,0.00120265,0.00120265,0.00120265
10,11.8775,0.58272,0.77431,0.90516,0.98345,0.99389,0.995,0.87599,0.53299,0.61756,0.90731,0.00117435,0.00117435,0.00117435
11,13.0003,0.58562,0.7296,0.91955,0.98216,1,0.995,0.88903,0.55029,0.61187,0.89401,0.00114606,0.00114606,0.00114606
12,14.111,0.59741,0.70104,0.93373,0.98768,1,0.995,0.89553,0.51023,0.48224,0.87826,0.00111776,0.00111776,0.00111776
13,15.1842,0.55245,0.6585,0.90323,0.99459,1,0.995,0.87535,0.53702,0.45926,0.88706,0.00108947,0.00108947,0.00108947
14,16.2728,0.56116,0.61926,0.90145,0.97995,1,0.995,0.89215,0.49633,0.40521,0.89083,0.00106118,0.00106118,0.00106118
15,17.3507,0.55626,0.61928,0.93201,0.97313,0.99972,0.995,0.89458,0.47815,0.41753,0.87906,0.00103288,0.00103288,0.00103288
16,18.4154,0.54305,0.60101,0.90828,0.98962,1,0.995,0.89816,0.47998,0.36028,0.87218,0.00100459,0.00100459,0.00100459
17,19.4791,0.5325,0.56464,0.89429,0.98675,1,0.995,0.9045,0.46602,0.34537,0.86995,0.000976293,0.000976293,0.000976293
18,20.5582,0.52012,0.54006,0.88718,0.99372,1,0.995,0.88822,0.47127,0.34344,0.87153,0.000947999,0.000947999,0.000947999
19,21.6211,0.51429,0.50889,0.89971,0.98496,1,0.995,0.89329,0.51013,0.32535,0.8826,0.000919704,0.000919704,0.000919704
20,22.6629,0.51658,0.52907,0.89701,0.98058,0.99696,0.995,0.89708,0.54028,0.34212,0.89272,0.00089141,0.00089141,0.00089141
21,23.7091,0.5295,0.53336,0.91049,0.98176,1,0.995,0.90338,0.4978,0.35191,0.88703,0.000863116,0.000863116,0.000863116
22,24.7632,0.52822,0.49908,0.90137,0.99049,1,0.995,0.89202,0.53034,0.32479,0.90984,0.000834822,0.000834822,0.000834822
23,25.8252,0.51956,0.4974,0.91485,0.99357,1,0.995,0.89007,0.49936,0.3121,0.87915,0.000806528,0.000806528,0.000806528
24,26.8734,0.50709,0.45758,0.90242,0.98217,1,0.995,0.88939,0.49099,0.31349,0.87977,0.000778233,0.000778233,0.000778233
